"Timestamp","Geraldo Alckmin","João Amoêdo","Jair Bolsonaro","Guilherme Boulos","Ciro Gomes","Marina Silva","Fernando Haddad","Cabo Daciolo"
"2018/11/20 4:28:10 PM GMT-4","1","3","1","3","3","3","4","3"
"2018/11/20 4:28:39 PM GMT-4","1","3","1","1","3","3","2","1"
"2018/11/20 4:28:45 PM GMT-4","2","2","1","2","2","3","2","2"
"2018/11/20 4:33:05 PM GMT-4","2","1","1","5","5","4","5","5"
"2018/11/20 10:06:15 PM GMT-4","2","5","2","1","2","3","1","1"
"2018/11/20 10:06:16 PM GMT-4","1","4","5","1","1","1","1","5"
"2018/11/20 10:06:56 PM GMT-4","2","2","3","2","2","2","2","2"
"2018/11/20 10:07:21 PM GMT-4","2","5","4","1","2","2","1","3"
"2018/11/20 10:08:57 PM GMT-4","2","2","4","2","3","1","1","5"
"2018/11/20 10:09:28 PM GMT-4","3","4","3","1","2","2","2","1"
"2018/11/20 10:10:04 PM GMT-4","1","3","1","5","1","3","3","1"
"2018/11/20 10:11:19 PM GMT-4","1","5","4","1","2","1","1","1"
"2018/11/20 10:11:25 PM GMT-4","3","4","2","3","4","4","3","3"
"2018/11/20 10:12:18 PM GMT-4","1","3","3","1","1","3","2","1"
"2018/11/20 10:12:23 PM GMT-4","1","3","4","1","2","3","1","3"
"2018/11/20 10:18:11 PM GMT-4","1","1","1","2","5","5","5","2"
"2018/11/20 10:25:07 PM GMT-4","1","3","1","1","3","3","5","1"
"2018/11/20 10:28:11 PM GMT-4","3","3","1","3","5","5","4","1"
"2018/11/20 10:46:18 PM GMT-4","1","3","5","1","2","2","1","1"
"2018/11/20 10:48:50 PM GMT-4","1","5","5","1","1","1","1","1"
"2018/11/20 10:54:35 PM GMT-4","1","5","4","1","1","3","1","2"
"2018/11/20 11:21:15 PM GMT-4","2","5","1","1","2","3","1","3"
"2018/11/21 4:18:00 AM GMT-4","2","4","5","1","1","1","1","3"
"2018/11/26 2:59:48 PM GMT-4","1","5","1","1","1","1","1","1"
"2018/11/26 3:04:07 PM GMT-4","1","5","4","1","1","1","1","1"
"2018/11/26 3:10:52 PM GMT-4","2","5","5","1","3","2","1","5"
"2018/11/26 3:14:14 PM GMT-4","2","5","2","1","3","3","2","3"
"2018/11/26 3:33:04 PM GMT-4","1","5","3","1","2","2","1","2"
"2018/11/26 3:33:59 PM GMT-4","3","5","2","1","4","2","1","3"
"2018/11/26 3:40:01 PM GMT-4","2","5","2","3","3","3","1","2"
"2018/11/26 3:40:12 PM GMT-4","1","3","5","1","1","1","1","2"
"2018/11/26 3:43:31 PM GMT-4","3","5","1","2","4","3","3","4"
"2018/11/26 3:43:37 PM GMT-4","3","4","1","1","5","2","2","5"
"2018/11/26 3:44:01 PM GMT-4","3","5","5","1","2","1","1","2"
"2018/11/26 3:44:32 PM GMT-4","2","3","1","1","4","4","2","1"
"2018/11/26 3:45:07 PM GMT-4","1","5","2","1","1","1","1","1"
"2018/11/26 3:46:50 PM GMT-4","1","5","3","1","3","1","1","1"
"2018/11/26 3:47:20 PM GMT-4","2","3","1","3","5","3","5","1"
"2018/11/26 3:53:23 PM GMT-4","3","5","4","3","1","4","1","5"
"2018/11/26 4:08:47 PM GMT-4","1","1","1","4","4","1","4","1"
"2018/11/26 4:10:56 PM GMT-4","2","4","5","1","1","1","1","1"
"2018/11/26 4:11:15 PM GMT-4","2","2","1","3","4","4","4","1"
"2018/11/26 4:11:50 PM GMT-4","1","4","3","1","2","1","1","1"
"2018/11/26 4:16:51 PM GMT-4","2","4","3","1","2","2","2","2"
"2018/11/26 4:26:45 PM GMT-4","2","4","5","1","1","2","1","3"
"2018/11/26 4:26:51 PM GMT-4","2","1","1","3","3","1","5","3"
"2018/11/26 4:29:26 PM GMT-4","3","1","4","1","2","1","1","1"
"2018/11/26 4:29:45 PM GMT-4","2","4","1","2","4","3","4","1"
"2018/11/26 4:30:32 PM GMT-4","1","5","1","1","4","2","1","2"
"2018/11/26 4:33:42 PM GMT-4","1","5","1","1","1","1","1","1"
"2018/11/26 4:50:04 PM GMT-4","1","1","1","3","1","1","5","3"
"2018/11/26 4:50:12 PM GMT-4","1","1","5","1","1","1","1","5"
"2018/11/26 4:52:51 PM GMT-4","2","5","3","2","2","1","1","1"
"2018/11/26 5:09:44 PM GMT-4","1","1","1","4","2","2","5","2"
"2018/11/26 5:30:14 PM GMT-4","2","2","5","2","2","2","1","1"
"2018/11/26 5:31:33 PM GMT-4","1","1","1","2","3","1","3","4"
"2018/11/26 5:35:21 PM GMT-4","2","4","4","1","2","3","1","2"
"2018/11/26 5:56:27 PM GMT-4","1","5","3","1","3","3","1","1"
"2018/11/26 5:58:49 PM GMT-4","2","4","1","4","3","4","2","4"
"2018/11/26 6:10:49 PM GMT-4","1","1","1","5","2","1","5","1"
"2018/11/26 6:44:12 PM GMT-4","1","2","1","1","1","1","1","1"
"2018/11/26 7:13:38 PM GMT-4","2","5","4","1","1","1","1","1"
"2018/11/26 7:54:54 PM GMT-4","1","5","5","1","1","1","1","1"
"2018/11/26 7:55:34 PM GMT-4","1","5","5","1","1","1","1","1"
"2018/11/26 7:59:53 PM GMT-4","2","4","1","1","3","3","2","1"
"2018/11/26 8:06:58 PM GMT-4","1","1","1","2","4","1","4","1"
"2018/11/26 8:25:19 PM GMT-4","2","1","1","4","3","2","5","1"
"2018/11/26 9:27:27 PM GMT-4","1","4","3","1","1","1","1","1"
"2018/11/26 9:30:52 PM GMT-4","3","5","5","1","2","1","1","1"
"2018/11/26 9:44:26 PM GMT-4","1","3","4","1","1","1","1","1"
"2018/11/26 10:02:58 PM GMT-4","1","5","1","1","3","5","1","5"
"2018/11/26 10:49:49 PM GMT-4","1","4","4","1","1","1","1","1"
"2018/11/26 10:50:02 PM GMT-4","2","1","1","1","1","5","1","1"
"2018/11/26 11:14:52 PM GMT-4","2","3","1","1","2","5","1","1"
"2018/11/26 11:21:06 PM GMT-4","3","2","1","2","2","5","1","1"
"2018/11/26 11:22:40 PM GMT-4","3","2","1","2","1","5","1","1"
"2018/11/26 11:26:19 PM GMT-4","2","1","1","3","1","5","2","1"
"2018/11/26 11:40:11 PM GMT-4","2","4","1","1","4","5","1","2"
"2018/11/27 12:25:16 AM GMT-4","1","1","1","5","1","5","5","1"
"2018/11/27 12:25:37 AM GMT-4","1","1","1","5","1","5","5","1"
"2018/11/27 12:26:15 AM GMT-4","3","4","1","2","3","5","2","2"
"2018/11/27 12:34:56 AM GMT-4","3","2","1","3","4","5","4","3"
"2018/11/27 1:01:48 AM GMT-4","1","3","1","2","1","5","1","2"
"2018/11/27 1:55:05 AM GMT-4","3","2","1","4","5","5","4","3"
"2018/11/27 3:57:43 AM GMT-4","1","2","1","3","3","5","2","3"
"2018/11/27 4:05:18 AM GMT-4","3","3","1","4","4","1","3","3"
"2018/11/27 4:22:05 AM GMT-4","1","1","1","1","1","5","1","1"
"2018/11/27 4:33:03 AM GMT-4","2","1","1","5","4","5","4","1"
"2018/11/27 4:56:11 AM GMT-4","3","4","2","4","3","2","3","3"
"2018/11/27 5:06:28 AM GMT-4","1","3","1","1","2","5","1","1"
"2018/11/27 5:35:10 AM GMT-4","4","2","1","3","5","3","3","3"
"2018/11/27 6:08:50 AM GMT-4","3","4","1","1","3","5","2","1"
"2018/11/27 7:32:42 AM GMT-4","3","3","1","2","4","4","3","2"
"2018/11/27 7:34:55 AM GMT-4","2","3","1","3","3","5","2","1"
"2018/11/27 8:25:01 AM GMT-4","1","2","1","3","3","3","4","1"
"2018/11/27 9:27:58 AM GMT-4","3","3","1","2","3","5","3","1"
"2018/11/27 9:52:41 AM GMT-4","1","5","1","1","1","1","2","3"
"2018/11/27 10:56:17 AM GMT-4","3","3","2","2","3","5","1","1"
"2018/11/27 1:33:19 PM GMT-4","1","5","1","1","5","1","1","5"
"2018/11/27 2:59:07 PM GMT-4","2","5","1","1","4","3","3","5"
"2018/11/27 3:21:45 PM GMT-4","2","4","1","4","3","5","3","1"
"2018/11/27 7:14:03 PM GMT-4","1","3","1","4","3","5","3","1"
"2018/11/27 7:37:59 PM GMT-4","2","1","1","3","3","5","3","2"
"2018/11/27 8:10:10 PM GMT-4","3","3","1","1","4","5","2","2"
"2018/11/27 8:24:30 PM GMT-4","1","2","1","3","3","2","3","3"
"2018/11/28 9:17:46 PM GMT-4","1","5","3","1","1","1","1","1"